,SMILES_NS,pIC50,target
0,C[C@@H](Nc1ncnc2sc(-c3ccccc3C(N)=O)cc12)c1ccccc1,6.56,egfr
1,COCCN=NNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.15,egfr
2,COc1ccc(C(=O)N2CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)cn1,7.2,ret
3,CC(C)c1cc(C(=O)NCC(=O)Nc2cccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3)c2)c(O)cc1O,9.1,alk
4,O=C(NCc1ccc(F)cc1)c1ccc(=O)n(-c2ccc(Oc3ccnc4ccsc34)c(F)c2)c1,6.68,met
5,CCOc1cccc2c1c(/C=C1\C(=O)NN=C1c1snnc1C)cn2C,7.33,alk
6,CCOc1cccc2c1c(/C=C1\C(=O)NN=C1c1snnc1C)cn2C,5.43,met
7,Brc1cccc(Nc2ncnc3sccc23)c1,7.46,egfr
8,c1cnc2ccc(Cn3nnc4nccnc43)cc2c1,6.6,met
9,NS(=O)(=O)c1ccc(Nc2nc(N3CCOCC3)nc3nc[nH]c23)cc1,5.0,erbB2
10,NS(=O)(=O)c1ccc(Nc2nc(N3CCOCC3)nc3nc[nH]c23)cc1,5.0,met
11,NS(=O)(=O)c1ccc(Nc2nc(N3CCOCC3)nc3nc[nH]c23)cc1,5.0,egfr
12,COCCn1c(=O)oc2cc3ncnc(Nc4cccc(C(C)=O)c4)c3cc21,7.25,egfr
13,COc1cc2ncnc(Nc3cccc(NC(=O)Nc4cccc(C)c4)c3)c2cc1OCCCN1CCOCC1,5.63,egfr
14,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccc(N3CCNCC3)cc2F)n1,7.77,alk
15,C[C@@H](Oc1cc(-c2cnn(C3CC4(CCCNC4)C3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,8.68,met
16,C[C@@H](Oc1cc(-c2cnn(C3CC4(CCCNC4)C3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,8.72,alk
17,COc1cc2ncnc(NCc3ccc(F)cc3)c2cc1OCCCCCCC(=O)NO,7.0,egfr
18,COc1cc2ncnc(NCc3ccc(F)cc3)c2cc1OCCCCCCC(=O)NO,6.53,erbB2
19,NC(=S)N/N=C(/C=C/c1ccccc1)c1ccc(Cl)c(Cl)c1,5.01,egfr
20,COc1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3)c2cc1OC,8.7,met
21,Nc1ncnc2c1c(C(=O)Nc1cc(Br)[nH]n1)nn2CC1CCCC1,8.23,ret
22,O=C(NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21)[C@@H]1CCCN1,8.52,egfr
23,O=C(NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21)[C@@H]1CCCN1,9.04,erbB2
24,Cc1ccc(C(=O)Nc2ccc(Oc3ccc4nc(NC(=O)C5CC5)cn4c3)c(F)c2)c(=O)n1-c1ccccc1,9.21,met
25,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,8.52,erbB2
26,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,9.0,egfr
27,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,6.59,erbB4
28,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,5.38,met
29,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,5.06,egfr
30,Cc1cc(-c2ccc(Nc3cc(S(=O)(=O)[O-])c(N)c4c3C(=O)c3ccccc3C4=O)c(C)c2)ccc1N,5.08,met
31,Clc1cc(Nc2ncnc3n[nH]c(OCCN4CCNCC4)c23)ccc1OCc1ccccn1,8.1,egfr
