,SMILES_NS,pIC50_erbB4,pIC50_egfr,pIC50_met,pIC50_alk,pIC50_erbB2,pIC50_ret,pIC50_ros1,Label
0,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCC1CCCO1,,,,,,7.74,,5
1,C=CC(=O)Nc1cc(Nc2nccc(NC(=O)c3ccc(C(F)(F)F)cc3)n2)c(OC)cc1N(C)CCN(C)C,,6.96,,,,,,7
2,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,,7.7,,,6.68,,,4
3,O=C(Nc1ccc(Oc2ccnc3cc(-c4ccc(CN5CCNCC5)cc4)sc23)c(F)c1)N1CCN(c2ccccc2)C1=O,,,7.66,,,,,6
4,C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)c(C)c3)c(C(N)=O)nc2CC)C1,,8.92,,,,,,7
5,COCC(=O)N1CCC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)C1,7.15,,,,,,,2
6,C=c1nns/c1=c1\[nH][nH]c(=O)c1=Cc1cn(C)c2cccc(OCc3cccnc3)c12,,,,7.47,,,,3
7,Cc1cc(-c2ccccc2)c2nc(N3CCN(C)CC3)cnc2c1,,,5.3,,,,,6
8,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccc(Cl)cc5Cl)c(=O)n4C)cc3F)ccnc2cc1OCCCN1CCC(C)CC1,,,7.89,,,,,6
9,Nc1nc2cc3ccccc3c-2c(Nc2cccc(Cl)c2)[nH]1,,4.71,,,,,,7
10,Cn1cc(-c2cc(-c3ccc(N4CCN(C(=O)N5CCC[C@H]5C(F)(F)F)CC4)nc3)c3c(C#N)cnn3c2)cn1,,,,,,7.94,,5
11,Cc1cccc(Cl)c1C(=O)NC1(C)CCN(c2cnc(-c3cc(OCCN4CCOCC4)cn4ncc(C#N)c34)nc2)CC1,,,,,,7.28,,5
12,COc1cc2c(Oc3ccc(NS(=O)(=O)c4cccc(-c5ccoc5)c4)cc3F)ccnc2cc1OCCCN1CCOCC1,,5.41,,,,,,7
13,COc1cc2nccc(Oc3ccc(NC(=O)c4nn(C)c(=O)n(CC(C)C)c4=O)cc3F)c2cc1OC,,,7.26,,,,,6
14,O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C1CCC2(CC1)OOC1(CCCCC1)OO2,,7.08,,,,,,7
15,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(C(=O)NO)cc3)cc12)c1ccc(F)cc1,,,,,7.0,,,4
16,CCCS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,,7.68,,,7.59,,,4
17,CN(C)CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)N5CCN(c6ccccc6)C5=O)cc4F)c3s2)c1,,,7.47,,,,,6
18,CC(C)S(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,,7.28,,,7.96,,,4
19,Cc1cc(NC(=O)c2nn(C(C)(C)c3cccs3)c3ncnc(N)c23)n[nH]1,,,,,,9.55,,5
20,C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C,,,,,7.47,,,4
21,Cn1cc(-c2cc(-c3ccc(N4CCC5(CCCN5)C4)nc3)c3c(C#N)cnn3c2)cn1,,,,,,7.14,,5
22,Cc1ccc(Nc2ncnn3ccc(C)c23)cc1O,,6.47,,,,,,7
23,CN1CCN(CCCNC(=O)c2ccc3c(c2)NC(=O)/C3=N\NC(=O)Cc2ccc3c(c2)CCO3)CC1,,,7.55,,,,,6
24,Cc1cc(Nc2ccnc(Nc3cccc(-c4nc5ccccc5s4)c3)n2)n[nH]1,,5.72,,,,,,7
25,CS(=O)(=O)Nc1ccc2ccc3ncc(-c4cccnc4)cc3c(=O)c2c1,,,7.13,,,,,6
26,COCC(=O)N1CCN(c2ccc(-c3cc(-c4cnn(C)c4)cn4ncc(C#N)c34)cc2)CC1,,,,,,7.68,,5
27,C=C(CN1CCOCC1)C(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC,,7.12,,,7.05,,,4
28,CCc1ccc(C(=O)N2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1,,,,,,7.32,,5
29,Cc1cc(-c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)on1,,6.23,,,,,,7
30,Fc1cc(F)cc(-c2cc(F)c3ncc(Cc4ccc5ncccc5c4)n3c2)c1,,,8.57,,,,,6
31,COc1cc(CC(=O)NN=C2C(=O)Nc3ccccc32)ccc1O,,,6.62,,,,,6
32,COc1ccc(CCCCCn2cc(CCN)c3cc(OCCc4ccc(O)cc4)ccc32)cc1,,8.36,,,,,,7
33,CC(C)(COc1cc(-c2ccc(N3CC4CC(C3)N4C(=O)C(F)(F)F)nc2)c2c(C#N)cnn2c1)OC(=O)C(F)(F)F,,,,,,7.2,,5
34,Cc1cccc(Cl)c1C(=O)NC1(C)CCN(c2cnc(-c3cc(OCC4(F)CN(C(=O)OC(C)(C)C)C4)cn4ncc(C#N)c34)cn2)CC1,,,,,,7.1,,5
35,CCCCN(Cc1cc(Cl)cc(Cl)c1O)C(=S)Nc1ccccc1,,4.61,,,4.4,,,4
36,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,,7.6,,,,,,7
37,CCNCc1cncc(/C=C/c2c[nH]nc2-c2nc3ccc(OC)cc3[nH]2)c1,,,,,5.52,,,4
38,Cc1cc(Nc2ncc3c(n2)N([C@H]2CCN(C(=O)CC(C)C)C2)C(=O)N(c2ccccc2Cl)C3)ccc1N1CCN(C)CC1,,7.66,,,,,,7
39,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1CO,,5.96,,,,,,7
40,Cc1c(F)cccc1C(=O)NC1(C)CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1,,,,,,7.84,,5
41,CC(C)(O)COc1cc(-c2ccc(N3CC4CC(C3)N4C(=O)O[C@@H]3CCOC3)nc2)c2c(C#N)cnn2c1,,,,,,6.41,,5
42,CN(C)C(C(=O)N1CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1)c1ccc(F)cc1,,,,,,7.45,,5
43,COCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cc[nH]c5)cc34)nc12,,,,,,5.9,,5
44,O=C(/C=C/C(=O)NCCCN1CCOCC1)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,,9.09,,,,,,7
45,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(O)C(C)C)n(-c5ccccc5)c4=O)cc3F)ccnc2c1,,,7.25,,,,,6
46,CCOc1cc2ncnc(Nc3ccc(C)c(Cl)c3)c2c2c1OCCO2,,8.17,,,,,,7
47,COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(-c5ccccc5F)c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1,,,8.35,,,,,6
48,CC(=O)OC[C@]1(C)[C@@H](OC(C)=O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2CC=C2[C@@H]3CC(C)(C)CC[C@]3(C(=O)OCCCCO[N+](=O)[O-])CC[C@]21C,,7.22,,,,,,7
49,CC(C)CNC(=O)N1CCN(c2ccc(-c3cc(OC[C@H](C)O)cn4ncc(C#N)c34)cn2)CC1,,,,,,7.38,,5
50,CNC(=O)CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NC)[nH]c2ccccc12,,5.03,,,,,,7
51,Cc1cc2cc(Nc3ncnc4cc(-c5ccccc5)sc34)ccc2[nH]1,,7.0,,,,,,7
52,COc1ccc(C(=O)N2C3CC2CN(c2ccc(-c4cc(-c5cnn(C)c5)cn5ncc(C#N)c45)cn2)C3)cc1Cl,,,,,,7.91,,5
53,COc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1O[C@H]1CO[C@@H]2[C@@H](OC)CO[C@H]12,,,,,6.28,,,4
54,O=C(NCCN1CCOCC1)Nc1nc2ccc(Sc3nnc4ccc(NC5CC5)nn34)cc2s1,,,9.0,,,,,6
55,C#Cc1cc2c(cc1OC1CCN(C3COC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,,,,8.79,,,,3
56,COc1ccc2[nH]c(-c3nn4c(COc5ccnc6cc(OC)ccc56)nnc4s3)cc2c1,,,7.19,,,,,6
57,COc1cc2c(Oc3ccc(NC(=O)N/N=C/c4ccc(F)cc4Cl)cc3F)ccnc2cc1OCCCN1CCC(C)CC1,,,7.59,,,,,6
58,Cc1ccc(C2=NN(C(N)=S)C(c3ccc(O)cc3)C2)cc1C,,6.89,,,,,,7
59,Cc1c(OCCN2CCOCC2)cn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c12,,,6.89,,,,,6
60,C[C@@H](c1cccc(F)c1)n1ncc2cc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)ccc21,,6.4,,,6.29,,,4
61,C=CC(=O)N(c1ccc(Cl)c(Cl)c1)c1ncnc2cc(OC)c(OCCCN3CCOCC3)cc12,,7.5,,,,,,7
62,C=CC(=O)N1CC(Oc2cc3c(N[C@H](C)c4ccccc4)ncnc3cc2OC)C1,,8.22,,,,,,7
63,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1C,,,9.26,,,,,6
64,Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,,8.39,,,,,,7
65,CCN(CC)C/C=C/C(=O)N1CC[C@@H](n2cc(C(=O)Nc3nc4cc(-c5ccccc5)ccc4o3)c3c(N)ncnc32)C1,,7.63,,,,,,7
66,O=S(=O)(c1cccc2nonc12)n1ccc2ncc(-c3cnn(C4CCNCC4)c3)cc21,,,8.05,,,,,6
67,CC1(NC(=O)c2ncccc2Cl)CCN(c2ccc(-c3cc(O)cn4ncc(C#N)c34)cn2)CC1,,,,,,8.26,,5
68,FC(F)(F)CNc1nc(Nc2ccc(N3CCOCC3)c(Cl)c2)nc2ccoc12,,,,,,5.82,,5
69,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCOCC1,,7.19,,,7.3,,,4
70,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C#Cc1nn(C2CCN(C)CC2)c2ncnc(N)c12,,,,,6.6,,,4
71,CCc1cc2c(cc1N1CCN(CC3(O)CCNCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,,,,8.85,,,,3
72,COc1cc2c(Nc3ccc(Br)c(Cl)c3Cl)ncnc2cc1OC[C@H]1CN2CCOCC2CO1,,,,,6.28,,,4
73,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1O,,7.3,,,,,,7
74,Cc1ccc(S(=O)(=O)NC(=O)Cn2c([N+](=O)[O-])cnc2C)cc1,,5.46,,,5.32,,,4
75,C[C@@H](Oc1c[nH]c(=O)c(C(=O)Nc2ccc3c(c2)CN(CCN(C)C)C3=O)c1)c1c(Cl)ccc(F)c1Cl,,,7.64,,,,,6
76,O=C(CCCCCC(=O)Nc1ccc(O)c(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)c1)NO,,5.85,,,,,,7
77,CC(C(=O)N/N=C1\C(=O)Nc2ccc(NC(=O)CN3CCCC3)cc21)c1ccc(F)cc1,,,5.21,,,,,6
78,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN2CSC[C@H]2CO1,,6.28,,,,,,7
79,CC(C)[C@@H](O)C(=O)N1CCN(c2ccc(-c3cc(-c4cnn(C)c4)cn4ncc(C#N)c34)cn2)CC1,,,,,,8.12,,5
80,CCOc1cc(-c2ccc(N3CCC(Cc4ccccn4)(NC(=O)CCN4CCOCC4)CC3)nc2)c2c(C#N)cnn2c1,,,,,,7.54,,5
81,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1,,4.69,,,,,,7
82,Cn1cc(-c2cc(-c3ccc(N4CC5(CCCN5C(=O)OCc5ccccc5)C4)nc3)c3c(C#N)cnn3c2)cn1,,,,,,7.69,,5
83,O=S(=O)(NCCc1cccc(F)c1)c1cc(-c2ccc(-c3cccs3)s2)cc(C(F)(F)F)c1,5.09,,,,4.5,,,2
84,Cn1nc(-c2cc(C3CC3)on2)c2c(N)ncnc21,,,,,,7.57,,5
85,CCOc1cc(-c2ccc(N3CC4CC(C3)N4C(=O)C(c3ccc(F)cc3)N(C)C)nc2)c2c(C#N)cnn2c1,,,,,,6.81,,5
86,COc1ccc(CNC(=O)c2cccc(C(C)Oc3ccnc(Nc4cnn(C5CCNCC5)c4)c3)c2)cc1OC,,,,5.35,,,6.43,1
87,O=C(Cc1cc(F)c(F)cc1F)Nc1cccc(Oc2cc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncn2)c1,,6.2,,,6.08,,,4
88,c1ccc(CCc2cc3c(Nc4ccc5[nH]ccc5c4)ncnc3[nH]2)cc1,,4.25,,,,,,7
89,CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,,6.48,,,,,,7
90,CCN1CCC(n2cc(CNc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)nn2)CC1,,4.96,,,,,,7
91,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,,5.83,,,,,,7
92,COc1cc2c(cc1OC)Sc1nc(C)nc(Nc3ccc4n[nH]cc4c3)c1NC2,,4.79,,,,,,7
93,COc1ccc(-c2c3c4cc(OC)c(OCCCNC(=N)N)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,,7.41,,,,,,7
94,CCOc1cc(-c2ccc(N3CCN(C(=O)C(CN(C)C)c4ccc(F)cc4)CC3)nc2)c2c(C#N)cnn2c1,,,,,,7.03,,5
95,COc1cc(Nc2nccc(N3CCC[C@H](C(=O)NCc4cccc(Cl)c4)C3)n2)cc(OC)c1OC,,,,7.1,,,,3
96,COc1cc(-c2ccc(N3CC[C@H](NC(=O)C4(C)CCC4)[C@@H](O)C3)nc2)c2c(C#N)cnn2c1,,,,,,7.26,,5
97,CC(C)(C)OC(=O)n1ccc2cc(-c3nn(C4CCCC4)c4ncnc(N)c34)ccc21,,6.41,,,,,,7
98,N#CC(C#N)=Cc1ccc(C#N)cc1,,2.85,,,,,,7
99,O=[N+]([O-])c1ccc2sc3c(Nc4ccccc4)ncnc3c2c1,,7.24,,,,,,7
100,CC(C)c1cc(NC(=O)Nc2ccc(-c3cc(NC(=O)c4ccc(CN5CCN(C)CC5)cc4)[nH]n3)cc2)no1,,,,6.07,,,,3
101,CCC1=C2C(Nc3ccc4c(cnn4Cc4ccccc4)c3)=NC=NC2N=C1NC(=O)OCCN1CCCCC1,,7.42,,,7.55,,,4
102,O=C(Cc1ccccc1)NC(=O)Nc1ccc(Oc2ccnc3ccsc23)cc1,,,6.64,,,,,6
103,COc1ccc(-n2cc(NC(=O)c3cccc(NS(=O)(=O)c4ccc(Cl)cc4)c3)cn2)cc1,,4.81,,,,,,7
104,COc1cc(C)cc(-c2nn(C)cc2-c2cc(NCCCCO)nc(-c3cccnc3)n2)c1,,,,,,,7.2,1
105,O=C1CSC(N2N=C(c3ccc(F)cc3)CC2c2ccccc2)=N1,,5.09,,,4.98,,,4
106,Cn1cc(-c2cc(-c3ccc(N4CCN(C5COC[C@H]5O)CC4)nc3)c3c(C#N)cnn3c2)cn1,,,,,,7.62,,5
107,Cc1cc(NC(=O)c2cn(C3CCC(C)(C)CC3)c3ncnc(N)c23)n[nH]1,,,,,,9.23,,5
108,COCCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,,,,,7.41,,,4
109,COc1ccc(-c2nn(C)c3ncnc(N)c23)cc1O,,4.0,,,,,,7
110,Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,,5.57,,,,,,7
111,Cn1cc(-c2cc(-c3ccc(N4CCN(Cc5cc(F)cc(F)c5)CC4)nc3)c3c(C#N)cnn3c2)cn1,,,,,,8.05,,5
112,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,,6.62,,,,,,7
113,CCOc1cc2ncnc(Nc3cccc(OC)c3)c2c2c1OCCO2,,8.36,,,,,,7
114,Cc1ccc(-c2csc(NC(=O)c3ccc(CN4CCN(C)CC4)cc3)n2)cc1C#Cc1ccccc1C(F)(F)F,,,,4.27,,,,3
115,COc1cc2ncnc(NCc3ccc(F)c(Cl)c3)c2cc1OCCCCCCC(=O)NO,,,,,6.0,,,4
116,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl,,6.35,,,,,,7
117,O=C(OCCC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)c1cc(NCc2cc(O)ccc2O)ccc1O,,5.9,,,,,,7
118,COC1CCC2CCc3c(ccc[n+]3CCc3ccccc3)C2C1,,6.07,,,,,,7
119,FC(F)(F)c1nnc(NC(=S)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)s1,,6.89,,,,,,7
120,COc1cc(Cl)c2c(c1Cl)/C(=N/NC(=O)C(C)c1ccc(O)cc1)C(=O)N2,,,7.33,,,,,6
121,O=C(Cc1cccc(Br)c1)NS(=O)(=O)c1ccccc1,,4.61,,,4.58,,,4
122,NP(=O)(OCCCOc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)N(CCCl)CCCl,,8.52,,,6.05,,,4
123,CC(C)(C)CNc1ncnc2c(C#N)cc(N[C@H](c3cn(C4(C(F)(F)F)CC4)nn3)c3cccc4ncsc34)cc12,,8.48,,,,,,7
124,COc1cc2nc(Cl)nc(Nc3ccc(S(C)(=O)=O)cc3)c2cc1OC,,4.21,,,,,,7
125,COc1cccc(CC2(O)CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)c1,,,,,,7.32,,5
126,CCc1cccc(C(=O)NC2(C)CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)n1,,,,,,7.21,,5
127,CC(C)C(=O)NC1CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1,,,,,,7.02,,5
128,CC1=CCC[C@@H]2[C@]1(C)CC[C@H](C)[C@@]2(C)CC1=C(O)C(=O)C=C(N[C@@H](CO)C(=O)O)C1=O,,,,,4.16,,,4
129,C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cc(-c4cncc(NC)n4)c23)C1,,6.86,,,,,,7
130,COc1cc(N2CCN(C)C[C@H]2C)ncc1-c1cnc(N)c(O[C@H](C)c2c(Cl)ccc(F)c2Cl)c1,,,,7.26,,,,3
131,COC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,,5.82,,,,,,7
132,Cn1cc(-c2cc(-c3ccc(N4CCN(CC(F)F)CC4)nc3)c3c(C#N)cnn3c2)cn1,,,,,,7.83,,5
133,O=C(CC(=O)Nc1ccc(Oc2ccnc3ccsc23)c(F)c1)Nc1ccccc1,,,6.57,,,,,6
134,CCNC(=O)Nc1nc2nc(NCCCCN(CC)CC)ncc2cc1-c1c(Cl)cccc1Cl,,5.9,,,,,,7
135,Cn1cc(-c2cc(-c3ccc(N4CCN(C(=O)N5CCC(C6CC6)C5)CC4)nc3)c3c(C#N)cnn3c2)cn1,,,,,,8.24,,5
136,CO[C@@H]1C[C@@H]2CC[C@H](C1)N2c1ccc(-c2cc(-c3cnn(C)c3)cn3ncc(C#N)c23)cn1,,,,,,8.07,,5
137,CN(C)c1cnc2cc(C(F)(F)F)cc(-c3ccccc3)c2n1,,,5.28,,,,,6
138,CO[C@H]1CCN(C(=O)N2CCN(c3ccc(-c4cc(-c5cnn(C)c5)cn5nccc45)cn3)CC2)C1,,,,,,6.42,,5
139,C=CC(=O)N1CCC(Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2OCCOC)CC1,,9.7,,,,,,7
140,C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(F)c3)ncnc2cc1OCCNC(=O)CN(C)C,,7.11,,,,,,7
141,Fc1ccc(Cl)c(CNc2nc(C(F)(F)F)nc3ncc(-c4cnn(C5CCNCC5)c4)cc23)c1Cl,,,6.36,,,,,6
142,CCOc1cc(-c2ccc(N3CCC(CN4CCOCC4)(NC(=O)CC(C)(C)OC)CC3)nc2)c2c(C#N)cnn2c1,,,,,,7.24,,5
143,COCc1cccc2nc(-c3[nH]nc4ncc(-c5cncc6ccccc56)cc34)[nH]c12,,,,,7.07,,,4
144,Nc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc2ccccc2)c1,,,5.79,,,,,6
145,CCNc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2cccn3nccc23)c(F)c1,,,7.26,,,,,6
146,COc1cc2c(Oc3ccc(N/C=C4\C(=O)NC(=O)N(c5ccc(C)cc5)C4=O)cc3F)ccnc2cc1OCCCN1CCCC1,,,8.94,,,,,6
147,O=C(c1ccc(-c2n[nH]c3c2CN(S(=O)(=O)c2c(Cl)cccc2Cl)CC3)cc1)N1CCN(CCO)CC1,,,5.92,,,,,6
148,N#CC(C#N)=Cc1ncc[nH]1,,3.27,,,,,,7
149,COc1cc2ncc(C#N)c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,,,,,6.81,,,4
150,CC1(C)c2cc(Oc3ncccn3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,,,,7.52,,,,3
151,CC(C)(O)Cn1nc(-c2cc(C3CC3)on2)c2c(N)ncnc21,,,,,,7.17,,5
152,C=CC(=O)Nc1cc(Nc2ncc3ccc(-c4cccnc4)n3n2)c(OC)cc1N(C)CCN(C)C,,7.89,,,,,,7
153,COc1cc([C@@]2(O)CCN(C)C[C@@H]2O)ccc1Nc1ncc2ccc(-c3ccccc3OC)n2n1,,,,8.52,,,,3
154,COc1cc(-n2c(O)c(C=Nc3ccc(Oc4ccnc5cc(OCCCN6CCC(C)CC6)c(OC)cc45)c(F)c3)c(=O)[nH]c2=O)c(OC)cc1Cl,,,7.72,,,,,6
155,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(OC(F)(F)F)c4)c(Cl)c3)c21,,,,,7.54,,,4
156,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,,9.11,,,8.52,,,4
157,CCC(C)C=CC(=O)C(=O)C=CC=C/C=C/C=C/C=C/C=C/[C@@H]1C[C@@H](O)[C@H](C(=O)O)O1,,5.8,,,,,,7
158,CN1CCc2cc(Nc3nccc(-c4c(-c5cccc(NC(=O)Cc6ccccc6)c5)nc5sccn45)n3)ccc2C1,,,,,6.8,,,4
159,Cc1n[nH]c(C)c1-c1cnc(N)c(OC(C)c2c(Cl)ccc(F)c2Cl)c1,,,6.48,,,,,6
160,CN(C)CCOC(=O)Nc1cccc(Cn2nc(-n3ccc4ccc(F)cc43)ccc2=O)c1,,,6.72,,,,,6
161,COc1cc(/C=C/C(=O)OCCc2ccc(O)c(O)c2)cc(OC)c1O,,,5.24,,,,,6
162,C[C@@H](Oc1ccc2ncc(C3CC3C(N)=O)cc2c1)c1c(Cl)ccc(F)c1Cl,,,8.03,,,,,6
163,C[C@@H](O)Cn1cc(-c2cc(-c3ccc(N4CCN(C(=O)CC(C)(C)C)CC4)cc3)c3c(C#N)cnn3c2)cn1,,,,,,7.61,,5
164,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCNCC1,,6.3,,,,,,7
165,CCn1ccnc1-c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,,,7.46,,,,,6
166,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCC(=O)NO,,,,,7.72,,,4
167,CCOc1cc(-c2ccc(N3CCC(Cc4ccccc4)(NC(=O)[C@@H](C)OC)CC3)nc2)c2c(C#N)cnn2c1,,,,,,7.72,,5
168,NP(=O)(OCCCCOc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)N(CCCl)CCCl,,8.13,,,7.09,,,4
169,C=CC(=O)Nc1cccc(N2C(=O)C(Cc3ccccc3)N(C)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,,8.33,,,,,,7
170,Nc1nc2cc3ccccc3c-2c(Nc2ccc(F)cc2)[nH]1,,3.56,,,,,,7
171,COc1ccc2c(c1)CCCN2c1nc(N)nc2c(Cc3ccccc3)c[nH]c12,,7.33,,,,,,7
