,smiles
0,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
1,Nc1ccc2oc(-c3ccccc3)cc(=O)c2c1
2,O=c1cc(-c2ccccc2)oc2ccc(O)cc12
3,COC(=O)c1ccc(NC(=O)CCC(=O)O)cc1
4,CC(=O)c1ccc(NS(=O)(=O)c2ccccc2)cc1
5,CC(=O)c1cccc(NS(=O)(=O)c2ccccc2)c1
6,O=S(=O)(Nc1nc2ccccc2nc1Nc1ccc(O)cc1)c1ccc(Cl)cc1
7,Nc1ccc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(Br)cc2)cc1
8,Cc1ccc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1
9,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc(Br)cc2)cc1
10,Cc1ccc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccccc2)cc1
11,Nc1ccc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccccc2)cc1
12,O=C(O)c1ccc(NS(=O)(=O)c2ccccc2)cc1
13,COc1ccc(Nc2cc(-c3ccccc3)ncn2)cc1Cl
14,Cc1ccc(S(=O)(=O)Nc2cccc(C(=O)Nc3ccc(Cl)cc3)c2)cc1
15,CC(=O)c1cccc(NS(=O)(=O)c2ccc(Cl)cc2)c1
16,O=C(O)c1cccc(NS(=O)(=O)c2ccc(Cl)cc2)c1
17,Cc1cccc(-n2ncc3c(NCc4ccco4)ncnc32)c1
18,CCOC(=O)c1nc(Nc2ccc(S(=O)(=O)Nc3nc(C)cc(C)n3)cc2)c2ccccc2n1
19,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)Nc3ccc(Cl)cc3)cc2)cc1
20,Cc1ccccc1NC(=O)c1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1
21,O=C(NCc1ccccc1)c1ccc(Cl)cc1
22,O=C(NCc1ccccc1)c1ccc(F)cc1
23,O=C(NCc1ccccc1)c1ccc(O)cc1
24,CC(=O)Nc1ccc(Nc2ncnc3c2c(-c2ccccc2)cn3-c2ccccc2)cc1
25,OC(COc1ccccc1)CN1CCN(c2ccccc2)CC1
26,O=c1c(-c2ccc(Br)cc2)coc2cc(O)cc(O)c12
27,O=c1c(-c2ccc(Cl)cc2)coc2cc(O)cc(O)c12
28,O=c1c(-c2ccc(F)cc2)coc2cc(O)cc(O)c12
29,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
30,c1ccc(Oc2ncnc3ccccc23)cc1
31,CCOc1ccc(-c2cc(C(F)(F)F)c(C#N)c(SCCC(=O)O)n2)cc1
32,CCOC(=O)CSc1nc(-c2ccc(OCC)cc2)cc(C(F)(F)F)c1C#N
33,CCCOc1ccc(-c2cc(C(F)(F)F)c(C#N)c(SCC(=O)O)n2)cc1
34,COc1ccc(-c2cc(C(F)(F)F)c(C#N)c(SCC(=O)O)n2)cc1
35,CCOC(=O)CSc1nc(-c2ccc(OC)cc2)cc(C(F)(F)F)c1C#N
36,CCCOc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
37,C=C(C)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
38,CC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
39,CCCCOc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
40,CC(C)=CCOc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
41,COC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
42,CCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
43,O=C(O)CCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
44,CCCCCOc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
45,CN(C)C(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
46,CC(C)OC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
47,C[C@H](NC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)C(=O)O
48,O=C(O)CNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
