,smiles,pIC50_erbB4,pIC50_egfr,pIC50_met,pIC50_alk,pIC50_erbB2,pIC50_ret,pIC50_ros1
0,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCC1CCCO1,,,,,,7.74,
1,C=CC(=O)Nc1cc(Nc2nccc(NC(=O)c3ccc(C(F)(F)F)cc3)n2)c(OC)cc1N(C)CCN(C)C,,6.96,,,,,
2,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,,7.7,,,6.68,,
3,O=C(Nc1ccc(Oc2ccnc3cc(-c4ccc(CN5CCNCC5)cc4)sc23)c(F)c1)N1CCN(c2ccccc2)C1=O,,,7.66,,,,
4,C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)c(C)c3)c(C(N)=O)nc2CC)C1,,8.92,,,,,
5,COCC(=O)N1CCC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)C1,7.15,,,,,,
6,C=c1nns/c1=c1\[nH][nH]c(=O)c1=Cc1cn(C)c2cccc(OCc3cccnc3)c12,,,,7.47,,,
7,Cc1cc(-c2ccccc2)c2nc(N3CCN(C)CC3)cnc2c1,,,5.3,,,,
8,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccc(Cl)cc5Cl)c(=O)n4C)cc3F)ccnc2cc1OCCCN1CCC(C)CC1,,,7.89,,,,
9,Nc1nc2cc3ccccc3c-2c(Nc2cccc(Cl)c2)[nH]1,,4.71,,,,,
10,Cn1cc(-c2cc(-c3ccc(N4CCN(C(=O)N5CCC[C@H]5C(F)(F)F)CC4)nc3)c3c(C#N)cnn3c2)cn1,,,,,,7.94,
11,Cc1cccc(Cl)c1C(=O)NC1(C)CCN(c2cnc(-c3cc(OCCN4CCOCC4)cn4ncc(C#N)c34)nc2)CC1,,,,,,7.28,
12,COc1cc(NC(=O)N2CCN(CCO)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NC(C)=O)n1,,,,8.2,,,8.77
13,CC(C)CNC(=O)C1(C)CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1,,,,,,7.54,
14,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccc(Cl)cc5)c5ccccc5c4=O)cc3F)ccnc2cc1OCCCN1CCCCC1,,,8.57,,,,
15,CC(C)CN(C)C(=O)C1CCN(c2ccc(-c3cc(-c4cnn(C)c4)cn4ncc(C#N)c34)cn2)CC1,,,,,,7.68,
16,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)NCCC,,7.59,,,,,
17,Cc1oc2ncnc(Nc3cccc(Cl)c3)c2c1C(=O)NCCO,,5.57,,,,,
18,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,7.55,,,8.77,7.47,9.34,10.15
19,Cc1cc(NC(=O)c2nn(C(C)(C)c3cccs3)c3ncnc(N)c23)n[nH]1,,,,,,9.55,
20,C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C,,,,,7.47,,
21,Cn1cc(-c2cc(-c3ccc(N4CCC5(CCCN5)C4)nc3)c3c(C#N)cnn3c2)cn1,,,,,,7.14,
22,Cc1ccc(Nc2ncnn3ccc(C)c23)cc1O,,6.47,,,,,
23,CN1CCN(CCCNC(=O)c2ccc3c(c2)NC(=O)/C3=N\NC(=O)Cc2ccc3c(c2)CCO3)CC1,,,7.55,,,,
24,Cc1cc(Nc2ccnc(Nc3cccc(-c4nc5ccccc5s4)c3)n2)n[nH]1,,5.72,,,,,
25,CS(=O)(=O)Nc1ccc2ccc3ncc(-c4cccnc4)cc3c(=O)c2c1,,,7.13,,,,
26,COCC(=O)N1CCN(c2ccc(-c3cc(-c4cnn(C)c4)cn4ncc(C#N)c34)cc2)CC1,,,,,,7.68,
27,C=C(CN1CCOCC1)C(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC,,7.12,,,7.05,,
28,CCc1ccc(C(=O)N2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1,,,,,,7.32,
29,Cc1cc(-c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)on1,,6.23,,,,,
30,Fc1cc(F)cc(-c2cc(F)c3ncc(Cc4ccc5ncccc5c4)n3c2)c1,,,8.57,,,,
31,COc1cc(CC(=O)NN=C2C(=O)Nc3ccccc32)ccc1O,,,6.62,,,,
32,COc1ccc(CCCCCn2cc(CCN)c3cc(OCCc4ccc(O)cc4)ccc32)cc1,,8.36,,,,,
33,CC(C)(COc1cc(-c2ccc(N3CC4CC(C3)N4C(=O)C(F)(F)F)nc2)c2c(C#N)cnn2c1)OC(=O)C(F)(F)F,,,,,,7.2,
34,Cc1cccc(Cl)c1C(=O)NC1(C)CCN(c2cnc(-c3cc(OCC4(F)CN(C(=O)OC(C)(C)C)C4)cn4ncc(C#N)c34)cn2)CC1,,,,,,7.1,
35,CCCCN(Cc1cc(Cl)cc(Cl)c1O)C(=S)Nc1ccccc1,,4.61,,,4.4,,
36,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,,7.6,,,,,
37,CCNCc1cncc(/C=C/c2c[nH]nc2-c2nc3ccc(OC)cc3[nH]2)c1,,,,,5.52,,
38,Cc1cc(Nc2ncc3c(n2)N([C@H]2CCN(C(=O)CC(C)C)C2)C(=O)N(c2ccccc2Cl)C3)ccc1N1CCN(C)CC1,,7.66,,,,,
39,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1CO,,5.96,,,,,
40,Cc1c(F)cccc1C(=O)NC1(C)CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1,,,,,,7.84,
41,CC(C)(O)COc1cc(-c2ccc(N3CC4CC(C3)N4C(=O)O[C@@H]3CCOC3)nc2)c2c(C#N)cnn2c1,,,,,,6.41,
